Date,Time,Moisture,Temperature,Humidity,X,Y,Z,R,G,B
11/20/2019,12:24:07,264,8.27,56.16,0.34,-0.19,0.9,,,
11/20/2019,12:24:18,281,8.29,55.66,0.34,-0.19,0.9,,,
11/20/2019,12:24:30,330,8.32,55.03,0.34,-0.2,0.91,,,
11/20/2019,12:24:42,273,8.32,54.63,0.34,-0.2,0.9,,,
11/20/2019,12:24:53,282,8.35,55.07,0.34,-0.2,0.91,,,
11/20/2019,12:25:04,272,8.38,55.97,0.34,-0.2,0.9,,,
11/20/2019,12:25:16,304,8.42,56.55,0.34,-0.2,0.91,,,
11/20/2019,12:25:28,308,8.45,56.2,0.34,-0.2,0.9,,,
11/20/2019,12:25:40,291,8.5,55.6,0.34,-0.19,0.91,,,
11/20/2019,12:25:52,278,8.54,55.29,0.33,-0.2,0.9,,,
11/20/2019,12:26:04,403,8.57,54.96,0.34,-0.19,0.9,,,
11/20/2019,12:26:16,302,8.56,55.06,0.34,-0.2,0.9,,,
11/20/2019,12:26:28,288,8.53,54.94,0.34,-0.2,0.9,,,
11/20/2019,12:26:40,322,8.51,54.88,0.34,-0.19,0.9,,,
11/20/2019,12:26:51,310,8.53,54.96,0.34,-0.19,0.9,,,
11/20/2019,12:27:03,258,8.53,54.85,0.34,-0.2,0.9,,,
11/20/2019,12:27:15,296,8.51,54.63,0.34,-0.19,0.9,,,
11/20/2019,12:27:27,289,8.5,54.32,0.33,-0.19,0.91,,,
11/20/2019,12:27:39,290,8.5,54.08,0.34,-0.2,0.91,,,
11/20/2019,12:27:50,296,8.51,54.28,0.34,-0.19,0.9,,,
11/20/2019,12:28:02,261,8.56,54.77,0.34,-0.19,0.91,,,
11/20/2019,12:28:14,365,8.57,54.13,0.34,-0.2,0.9,,,
11/20/2019,12:28:26,267,8.54,53.56,0.34,-0.19,0.91,,,
11/20/2019,12:28:37,375,8.54,53.51,0.34,-0.2,0.91,,,
11/20/2019,12:28:49,336,8.54,53.56,0.34,-0.19,0.9,,,
11/20/2019,12:29:00,304,8.51,53.55,0.34,-0.2,0.9,,,
11/20/2019,12:29:12,296,8.54,53.34,0.34,-0.19,0.91,,,
11/20/2019,12:29:24,372,8.54,53.47,0.34,-0.2,0.9,,,
11/20/2019,12:29:35,321,8.53,53.86,0.33,-0.2,0.9,,,
11/20/2019,12:29:47,353,8.56,54.13,0.34,-0.2,0.9,,,
11/20/2019,12:29:58,306,8.57,54.88,0.34,-0.19,0.9,,,
11/20/2019,12:30:10,284,8.58,54.48,0.34,-0.2,0.91,,,
11/20/2019,12:30:21,279,8.6,54.32,0.34,-0.19,0.9,,,
11/20/2019,12:30:33,283,8.61,54.6,0.34,-0.2,0.89,,,
11/20/2019,12:30:44,294,8.65,54.66,0.34,-0.19,0.9,,,
11/20/2019,12:30:55,270,8.69,55.49,0.34,-0.19,0.91,,,
11/20/2019,12:31:07,297,8.72,55.87,0.34,-0.19,0.9,,,
11/20/2019,12:31:18,298,8.76,55.07,0.34,-0.2,0.91,,,
11/20/2019,12:31:29,316,8.79,55.13,0.34,-0.2,0.9,,,
11/20/2019,12:31:41,270,8.79,54.8,0.34,-0.19,0.91,,,
11/20/2019,12:31:52,302,8.83,55.74,0.33,-0.19,0.91,,,
11/20/2019,12:32:03,363,8.85,55.38,0.34,-0.19,0.9,,,
11/20/2019,12:32:15,301,8.87,55.87,0.34,-0.19,0.91,,,
11/20/2019,12:32:26,264,8.87,55.79,0.34,-0.19,0.9,,,
11/20/2019,12:32:37,317,8.91,56.04,0.34,-0.2,0.9,,,
11/20/2019,12:32:48,313,8.97,55.38,0.33,-0.19,0.91,,,
11/20/2019,12:33:00,305,9,54.19,0.34,-0.19,0.91,,,
11/20/2019,12:33:11,356,9,53.42,0.33,-0.19,0.91,,,
11/20/2019,12:33:22,299,8.96,53.07,0.34,-0.19,0.9,,,
11/20/2019,12:33:33,310,8.94,52.84,0.33,-0.19,0.9,,,
11/20/2019,12:33:44,316,8.91,52.83,0.34,-0.2,0.9,,,
11/20/2019,12:33:55,320,8.89,53.07,0.34,-0.2,0.91,,,
11/20/2019,12:34:06,349,8.86,53.38,0.34,-0.19,0.9,,,
11/20/2019,12:34:18,316,8.87,53.33,0.34,-0.19,0.9,,,
11/20/2019,12:34:29,319,8.86,53.22,0.33,-0.19,0.9,,,
11/20/2019,12:34:40,300,8.87,53.13,0.34,-0.19,0.91,,,
11/20/2019,12:34:51,293,8.87,52.91,0.34,-0.2,0.91,,,
11/20/2019,12:35:02,293,8.86,52.92,0.34,-0.19,0.9,,,
11/20/2019,12:35:13,263,8.89,53.63,0.34,-0.19,0.9,,,
11/20/2019,12:35:24,299,8.89,53.75,0.34,-0.2,0.91,,,
11/20/2019,12:35:35,340,8.86,54,0.33,-0.2,0.9,,,
11/20/2019,12:35:46,380,8.86,53.63,0.34,-0.19,0.91,,,
11/20/2019,12:35:57,275,8.85,53.04,0.33,-0.2,0.9,,,
11/20/2019,12:36:08,262,8.82,52.7,0.33,-0.2,0.91,,,
11/20/2019,12:36:19,285,8.78,52.8,0.34,-0.2,0.91,,,
11/20/2019,12:36:31,275,8.75,53.21,0.34,-0.2,0.9,,,
11/20/2019,12:36:42,311,8.72,53.38,0.33,-0.2,0.91,,,
11/20/2019,12:36:53,320,8.71,53.96,0.34,-0.19,0.91,,,
11/20/2019,12:37:04,309,8.71,54.13,0.34,-0.19,0.9,,,
11/20/2019,12:37:15,288,8.69,53.74,0.34,-0.2,0.9,,,
11/20/2019,12:37:26,300,8.71,53.71,0.34,-0.19,0.9,,,
11/20/2019,12:37:37,308,8.72,53.56,0.33,-0.19,0.91,,,
11/20/2019,12:37:49,314,8.71,53.45,0.34,-0.19,0.91,,,
11/20/2019,12:38:00,299,8.71,53.56,0.34,-0.2,0.91,,,
11/20/2019,12:38:11,281,8.71,54.19,0.34,-0.19,0.9,,,
11/20/2019,12:38:22,311,8.76,54.65,0.34,-0.19,0.9,,,
11/20/2019,12:38:33,310,8.78,54.63,0.34,-0.19,0.91,,,
11/20/2019,12:38:45,302,8.79,54.49,0.34,-0.2,0.91,,,
11/20/2019,12:38:56,301,8.78,53.98,0.34,-0.2,0.91,,,
11/20/2019,12:39:07,293,8.79,53.67,0.34,-0.19,0.9,,,
11/20/2019,12:39:18,265,8.75,53.59,0.34,-0.2,0.9,,,
11/20/2019,12:39:30,299,8.71,53.8,0.33,-0.2,0.91,,,
11/20/2019,12:39:41,303,8.71,54.24,0.34,-0.2,0.9,,,
11/20/2019,12:39:49,354,8.71,54.42,0.34,-0.19,0.9,,,
11/20/2019,12:40:01,298,8.69,54.41,0.34,-0.2,0.91,,,
11/20/2019,12:40:12,296,8.71,54.21,0.34,-0.2,0.9,,,
11/20/2019,12:40:23,306,8.71,53.59,0.34,-0.19,0.91,,,
11/20/2019,12:40:35,316,8.71,53.09,0.34,-0.19,0.9,,,
11/20/2019,12:40:46,300,8.64,52.76,0.34,-0.2,0.91,,,
11/20/2019,12:40:58,299,8.58,52.68,0.34,-0.2,0.91,,,
11/20/2019,12:41:09,306,8.53,52.88,0.34,-0.19,0.9,,,
11/20/2019,12:41:20,332,8.46,53.3,0.34,-0.2,0.91,,,
11/20/2019,12:41:32,276,8.45,53.42,0.33,-0.19,0.9,,,
11/20/2019,12:41:43,287,8.42,53.34,0.33,-0.2,0.9,,,
11/20/2019,12:41:55,289,8.42,54.02,0.34,-0.2,0.9,,,
11/20/2019,12:42:06,371,8.38,53.72,0.34,-0.19,0.9,,,
11/20/2019,12:42:18,267,8.36,53.85,0.34,-0.19,0.9,,,
11/20/2019,12:52:59,293,8.38,52.84,0.34,-0.19,0.9,,,
11/20/2019,12:53:10,355,8.4,52.82,0.34,-0.2,0.91,,,
